id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,detection_method
65,Super Earth,2024,2.99 Earths,1.54 x Earth,0.02 AU,2.3 days,Transit
66,Gas Giant,2023,29 Jupiters,1.06 x Jupiter (estimate),1.07 AU,2.1 years,Microlensing
67,Gas Giant,2023,19 Jupiters,1.08 x Jupiter (estimate),0.96 AU,2.1 years,Microlensing
68,Gas Giant,2023,21 Jupiters,1.08 x Jupiter (estimate),1.64 AU,3.7 years,Microlensing
69,Gas Giant,2023,Unknown,1.2 x Jupiter (estimate),5.19 AU,16 years,Microlensing
70,Super Earth,2023,1.25 Earths,1.073 x Earth,0.0503 AU,4.2 days,Transit
71,Gas Giant,2023,21 Jupiters,1.08 x Jupiter (estimate),0.9 AU,2.4 years,Microlensing
72,Gas Giant,2023,3 Jupiters,0.88 x Jupiter,0.0831 AU,8.3 days,Transit
73,Gas Giant,2023,0.64 Jupiters,1.0 x Jupiter,0.073 AU,7.2 days,Transit
74,Neptune-like,2023,13.15 Earths,0.329 x Jupiter (estimate),0.02262 AU,3.7 days,Radial Velocity
